"","Progeny","CWT_WEO","CCT_WEO","CAWT_WEO","MotherID","FatherID","CWT_SAL1","CCT_SAL1","CAWT_SAL1","CWT_SAL2","CCT_SAL2","CAWT_SAL2"
"300","uj45Cv2HI3",427.4,22,19.4272727272727,"Cr6mrdgibP","mpcNtDuFer",553.4938889,17.36111111,31.90440437,435.666666666667,13.25,32.1214291433333
"301","HCBPAp6xVq",117.7,3,39.2333333333333,"Cr6mrdgibP","mpcNtDuFer",628.0175,20.5,30.5703514533333,499.315,19.8333333333333,25.3429668733333
"302","O0CJLhDPNK",92.3,3,30.7666666666667,"Cr6mrdgibP","mpcNtDuFer",468.473333333333,14.25,32.99803889,432.146666666667,15.8333333333333,27.24286122
"303","RaPIn9p0ar",685.2,22,31.1454545454545,"Cr6mrdgibP","fuSIkHAJnC",412.0375,13.75,30.0512212766667,347.8875,11.25,31.0625250466667
"304","qFN0KoBqQk",670.3,23,29.1434782608696,"Cr6mrdgibP","fuSIkHAJnC",516.1375,15.4166666666667,33.4667460333333,448.811666666667,13.5833333333333,33.2049694066667
"305","iQ0uW5wM6T",258.4,7,36.9142857142857,"Cr6mrdgibP","fuSIkHAJnC",306.958333333333,9.08333333333334,33.4448363433333,407.5525,13.3333333333333,31.0269490233333
"306","QVUKeRV0p4",174.4,6,29.0666666666667,"Cr6mrdgibP","fuSIkHAJnC",139.37,9.33333333333333,14.1918223,35.53,3.25,10.93230769
"307","iTTQypb3QR",9.8,1,9.8,"Cr6mrdgibP","fuSIkHAJnC",220.474166666667,7.91666666666667,27.5832621566667,167.254166666667,7.25,23.0499945166667
"308","QBY805QwQB",925.5,30,30.85,"Cr6mrdgibP","fuSIkHAJnC",392.476666666667,13.3333333333333,30.17471391,204.568333333333,7.91666666666667,26.0401884066667
"309","uwB9ex10Yo",440.5,15,29.3666666666667,"Cr6mrdgibP","fuSIkHAJnC",700.469166666667,24.25,28.7372103033333,611.58,24.9166666666667,24.63121195
"310","2wxnJe5xmJ",0,0,NA,"Cr6mrdgibP","fuSIkHAJnC",668.845,17.8333333333333,37.5907038333333,478.322222222222,14.8611111111111,31.8418981133333
"311","3uljkuiE61",655.4,29,22.6,"Cr6mrdgibP","Qbu6oxYtP9",808.509166666667,26,31.13765973,720.114166666667,25.6666666666667,27.9560534833333
"312","1mbptU9oRJ",446.2,19,23.4842105263158,"Cr6mrdgibP","Qbu6oxYtP9",529.129166666667,20.4166666666667,26.1042284366667,718.790833333333,28.1666666666667,25.6070239633333
"313","I81US1afEc",693.2,18,38.5111111111111,"Cr6mrdgibP","Qbu6oxYtP9",741.923333333333,20.25,36.79259925,851.043888888889,26.3333333333333,32.7796430766667
"314","MQ8xreUcCW",431.4,13,33.1846153846154,"Cr6mrdgibP","Qbu6oxYtP9",707.404166666667,20.0833333333333,35.6685487966667,627.18,20.6666666666667,30.9349925433333
"315","npzdo6Xu0Y",390.5,15,26.0333333333333,"Cr6mrdgibP","Qbu6oxYtP9",782.0975,22.5,34.7041760566667,591.908333333333,18.5833333333333,32.0135819466667
"316","E7ZK52KPqH",360.6,8,45.075,"Cr6mrdgibP","Qbu6oxYtP9",422.5111111,9.52777777766667,44.4245267866667,621.303333333334,17.6666666666667,35.2076291566667
"317","LG4eA4H67a",1273.8,43,29.6232558139535,"Cr6mrdgibP","Qbu6oxYtP9",451.655,13.5833333333333,33.2839057633333,508.5025,19.5833333333333,26.65620793
"318","qhIvhYMcmg",477.6,14,34.1142857142857,"Cr6mrdgibP","Qbu6oxYtP9",570.719166666667,18.75,30.3740622766667,545.370833333334,18.25,29.8364316233333
"319","KQGPmyUdkw",186.3,5,37.26,"Cr6mrdgibP","Hpkn8ytvLF",400.874166666667,17,24.0725468566667,455.425833333333,15.9166666666667,28.8924164366667
"320","VqYD1vQdMQ",123.7,3,41.2333333333333,"Cr6mrdgibP","Hpkn8ytvLF",294.085,11.8333333333333,25.1346051666667,116.861666666667,6.5,18.2245555566667
"321","u2SUCG13H5",254.9,10,25.49,"Cr6mrdgibP","Hpkn8ytvLF",664.020555566667,21.25,31.50740677,434.011666666667,15.8333333333333,27.43351643
"322","rujlK2v6Tr",822.5,25,32.9,"Cr6mrdgibP","Hpkn8ytvLF",669.699166666667,19.75,34.0837049066667,684.97,23.0833333333333,29.63013082
"323","BJtxveb82P",374,12,31.1666666666667,"Cr6mrdgibP","Hpkn8ytvLF",414.13,14.4166666666667,28.9289943233333,417.233333333333,15.75,26.0905545666667
"324","isaDJ1ZAWz",93.2,2,46.6,"Cr6mrdgibP","Hpkn8ytvLF",405.57,12,33.9322962966667,269.6475,10.1666666666667,27.03427484
